Dosen menyediakan waktu bagi mahasiswa yang ingin berkonsultasi,Dosen membantu mahasiswa yang mengalami kesulitan dalam perkuliahan,Dosen memberikan motivasi bagai mahasiswa untuk meningkatkan prestasi akademik,Mahasiswa mudah menghubungi dosen untuk bimbingan/konseling kegiatan kemahasiswaan,"Pimpinan prodi, dosen dan staf TU menanggapi keluhan dengan baik","Terjalin komunikasi yang baik antara dosen, staf TU dan mahasiswa",Jam layanan akademik sesuai dengan kebutuhan mahasiswa,Staf Tata Laksana siap membantu menyelesaikan masalah administrasi mahasiswa,Prodi memberikan penghargaan bagi mahasiswa yang berprestasi,Prodi peduli dengan mahasiswa yang mengalami musibah (misal: kunjungan perwakilan dosen ke mahasiswa),Permasalahan/keluhan mahasiswa ditangani oleh dosen Penasihat Akademik/dosen wali,Pimpinan prodi melakukan backup terhadap masalah/keluhan mahasiswa yang ditangani dosen Penasihat Akademik/dosen wali,Pekerjaan/tugas dikembalikan pada mahasiswa dan diberi catatan oleh dosen yang bersangkutan,Waktu dipergunakan secara efektif oleh dosen dalam proses pengajaran,Staf Tata Laksana membantu administrasi mahasiswa dengan cepat,Staf Tata Laksana membantu administrasi mahasiswa dengan tanggap,Staf Tata Laksana membantu administrasi mahasiswa dengan tepat,Kritik dan saran mahasiswa selalu direspon oleh Prodi,Prodi mempermudah administrasi mahasiswa dengan website,Prodi dengan tanggap mengurus administrasi untuk mahasiswa yang terkena musibah (misal: uang duka),Dosen bersedia membantu mahasiswa yang mengalami kesulitan di bidang akademik/mata kuliah,"Dosen bersikap terbuka, kooperatif dengan mahasiswa",Dosen mengajar sesuai dengan silabus dan Rencana Pembelajaran Semester (RPS) yang telah dibuat,Dosen melibatkan mahasiswa dalam kegiatan ilmiah (penelitian dan pengabdian kepada masyarakat),Dosen membuat suasana akademik di dalam kelas mendukung kegiatan perkuliahan,Mahasiswa mudah mendapatkan informasi akademik maupun non akademik lewat website,"Mahasiswa mendapatkan kejelasan prosedur/alur tentang suatu kegiatan (misal: alur pengisian KRS, alur Kerja Praktek, alur Tugas Akhir)","Mahasiswa mendapat dukungan Prodi dalam kegiatan non akademik (misal: olahraga, seni, dll)",Mahasiswa mendapat dukungan Prodi dalam kegiatan akademik di luar kampus,Prodi memonitor kemajuan mahasiswa melalui dosen Penasihat Akademik/Dosen Wali
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,4,2,4,3,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,3,1,2,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3
3,2,2,1,2,2,3,1,1,1,3,3,2,3,1,1,1,3,2,1,2,2,2,1,2,1,2,2,1,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,1,2
3,3,4,2,3,3,4,4,4,3,4,4,3,4,4,4,4,3,3,3,3,3,4,3,3,3,3,3,3,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,4,3,3,4,3,4,4,4,4,4,3,4,3,4,3,3,4,3,3,3,4,3,4,4,4,4,4,3,3
2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,2,3,4,1,2,3,4,1,2,1,2,3,4,1,2,3,4,1,2,1,2,3,4,1,2,3,4,1,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,4,2,3,3,3,4,3,2,3,3,2,3,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4,3
4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,2,2,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3
2,3,4,4,3,3,3,3,4,4,3,3,2,3,4,4,4,3,4,4,4,4,3,2,4,4,4,4,3,3
3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,3,3,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,3
4,3,3,3,3,3,3,4,3,4,3,3,3,4,4,4,4,3,3,3,3,4,4,3,4,4,3,3,3,3
4,4,4,4,3,3,4,3,2,2,4,3,3,4,4,4,4,4,4,4,3,4,4,3,3,4,2,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,2,3,3,2,2,3,4,4,2,2,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4
3,3,4,2,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,2,2,2,2,2,4,2,3,1,2,2,3,3,2,2,2,3,4,2,2,3,2,3,3,4,3,2,2,2
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,2,3,2,3,3,3,4,3,3,3,1,2,3
3,3,3,3,4,4,4,3,3,3,4,4,3,4,3,3,3,4,4,3,2,3,4,3,3,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
4,4,4,3,3,4,4,4,3,3,4,3,3,4,4,4,4,3,4,3,4,4,4,4,4,3,4,3,3,3
4,4,4,3,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,2,3,3,2,2,3,2,2,3,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,2,2,3,2,2,3,2,3,2,3,2,3,2,2,2,4,3,2,3,3,2,3,3,3,3,2,2,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,2,3,3,3,3,2,2,2,2,3,3,3,3,3,2,3,3,3,2,3,3,2,3,2,3,3,3,3,3
4,4,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,2,3,4,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,3,3,3,2,4,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
4,4,4,4,3,4,4,4,3,3,3,3,3,4,4,4,4,3,4,3,3,4,4,3,4,4,4,3,3,3
3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,4,4,4,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,2,3,3
1,1,1,2,1,1,3,1,1,1,4,2,3,3,2,1,1,1,2,1,3,1,4,1,2,1,3,1,2,1
3,3,2,3,3,3,3,2,2,3,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,3,3,3,3,3
2,1,1,3,2,1,4,4,1,1,4,4,2,3,4,3,4,2,3,1,3,3,4,1,3,2,3,1,1,4
3,3,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3
4,2,4,2,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4
4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,1,2,2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3
2,4,3,3,3,2,4,3,2,2,3,3,2,2,2,2,3,2,4,3,1,2,3,2,3,4,4,4,3,3
3,2,2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,2,4,1,3,3,3,3,3,3,3,3,3,4,4,3,2,4,4,4,3,2
2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2
2,3,4,1,3,4,4,2,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3
3,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3
3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,3,3,4,4,3,2,1,2,3,2,3,3,4,2,4,2,3,4,4,3,2,3,4,2,3,4,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,3,3,4,4,2,2,4,3,4,4,4,3,3,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,3,3,2,2,2,3,3,2,2,4,3,3,3,2,3,2,3,3,3,3,3,2,2,2,3,3,2,2,2
2,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,4,2,2,2,3,2,2,3,3,2,2,3
3,3,3,3,3,3,3,3,1,3,3,4,4,4,4,4,4,4,4,4,2,2,3,2,1,4,2,2,2,2
4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4,4,3,4,4
2,1,4,2,3,4,4,3,3,3,3,3,1,2,3,3,3,2,3,3,1,1,3,1,1,3,3,2,2,1
3,3,2,2,1,1,3,3,2,2,2,2,3,3,3,3,3,1,3,2,3,3,2,2,2,2,3,2,2,1
2,3,3,2,3,3,3,3,2,2,4,3,3,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,2,3,2,3,3,4,3,3,3,3,3,2,3,3,3,2,3,4,3,2,2,3,2,3,3,4,2,3,3
4,3,4,4,4,3,3,4,3,3,3,3,3,4,4,4,4,3,4,3,3,3,3,3,3,4,3,3,3,3
4,3,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,4,3,3,3,4,3,3
4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,4,3,3,4,3,4,4,3,3,4,4,3,3,3,3,4,4,3,4,3,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,1
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4
3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,2,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,4,4,4,2,3,3,1,3,3,3,2,3,2,3,2,3,3,3,3,4,3,4,3,4,3,4,3,3,3
4,3,4,2,3,3,3,3,3,3,3,2,2,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,2,3,2,3,2,3,3,2,2,4,3,3,3,2,2,3,2,3,2,2,3,3,2,3,2,3,3,2,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,2,4,4,4,4,2,4,3,4,2,4,4,4,4,4,4,2,3,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,2,4,2,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,4,2,4,3,3,2,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
2,2,2,2,2,2,2,1,1,2,3,2,2,3,1,1,1,3,3,2,3,2,3,2,2,3,3,3,2,3
2,2,3,2,2,2,3,3,2,2,2,2,2,3,4,4,4,2,3,4,3,3,3,3,2,3,3,2,2,2
4,4,3,4,3,4,3,4,3,4,4,3,4,3,4,3,3,4,4,4,4,3,3,3,4,4,4,3,4,4
4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,3,2,2,2,2,3,2,3,3,2,3,3,2,3,3,3,3,3,3,2,2,2,2,2,2,2,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,1,1,3,1,1,4,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,1,2,2,1,2
3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,3,3,2,3,2,2,3,3,3,3,2,3,3,2,2,2,2,2,2,3,2,3,2,2,2,3,1,2,2
3,2,2,2,2,2,2,4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
4,4,3,4,1,2,2,3,3,2,1,1,2,3,1,2,2,3,2,2,4,4,3,2,2,2,3,2,3,2
3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,3,2,2,1,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,3,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,3,2,1,3,2,4,3,4,2,2,4,2,2,2,2,2,3,4,3,2,3,2,2,2,2,3,1,2,2
3,4,4,3,4,4,4,4,3,3,4,3,3,4,4,4,4,3,4,3,3,3,3,3,4,3,4,4,3,4
3,2,4,3,1,1,3,3,2,2,2,2,2,3,3,3,3,2,2,1,2,3,4,2,3,3,3,1,1,2
4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,2,3,2,2,2,3,3,2,2,3,2,3,2,3,3,3,3,3,2,2,3,3,2,2,2,3,3,2,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4
